 21%|██████████████████▏                                                                    | 200/960 [28:44<1:49:01,  8.61s/it][34m[1mwandb[0m: [33mWARNING[0m Fatal error while uploading data. Some run data will not be synced, but it will still be written to disk. Use `wandb sync` at the end of the run to try uploading.
[2025-05-30 16:35:20,211] [WARNING] [stage3.py:2148:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
{'loss': 3.7444, 'grad_norm': 300.311898520488, 'learning_rate': 4.827586206896552e-08, 'epoch': 0.03}
{'loss': 3.566, 'grad_norm': 231.0398263726493, 'learning_rate': 1.0344827586206897e-07, 'epoch': 0.05}
{'loss': 3.5497, 'grad_norm': 211.83444533749085, 'learning_rate': 1.5862068965517243e-07, 'epoch': 0.07}
{'loss': 3.2365, 'grad_norm': 128.57458467579139, 'learning_rate': 1.9999772265550936e-07, 'epoch': 0.1}
{'loss': 3.1411, 'grad_norm': 64.42061077538693, 'learning_rate': 1.99943071573867e-07, 'epoch': 0.12}
{'loss': 2.9651, 'grad_norm': 64.97800718821483, 'learning_rate': 1.9981559110172944e-07, 'epoch': 0.15}
{'loss': 2.8839, 'grad_norm': 61.83555159336481, 'learning_rate': 1.99615374135232e-07, 'epoch': 0.17}
{'loss': 2.8093, 'grad_norm': 61.391071591754645, 'learning_rate': 1.9934256657422944e-07, 'epoch': 0.2}
{'loss': 2.7044, 'grad_norm': 53.29941778160717, 'learning_rate': 1.9899736721597784e-07, 'epoch': 0.23}
{'loss': 2.6169, 'grad_norm': 42.358248988542336, 'learning_rate': 1.9858002761026912e-07, 'epoch': 0.25}
{'loss': 2.5435, 'grad_norm': 36.925268101932836, 'learning_rate': 1.9809085187612465e-07, 'epoch': 0.28}
{'loss': 2.471, 'grad_norm': 37.88367796127207, 'learning_rate': 1.9753019648018085e-07, 'epoch': 0.3}
{'loss': 2.3749, 'grad_norm': 34.657187322726756, 'learning_rate': 1.96898469976929e-07, 'epoch': 0.33}
{'loss': 2.339, 'grad_norm': 33.08395168959039, 'learning_rate': 1.96196132710998e-07, 'epoch': 0.35}
{'loss': 2.2716, 'grad_norm': 36.7100462709202, 'learning_rate': 1.9542369648169715e-07, 'epoch': 0.38}
{'loss': 2.2261, 'grad_norm': 32.243851684718365, 'learning_rate': 1.9458172417006346e-07, 'epoch': 0.4}
{'loss': 2.2065, 'grad_norm': 33.918643304148766, 'learning_rate': 1.9367082932868553e-07, 'epoch': 0.42}
{'loss': 2.1166, 'grad_norm': 28.37763650786182, 'learning_rate': 1.9269167573460216e-07, 'epoch': 0.45}
{'loss': 2.076, 'grad_norm': 25.79653023891748, 'learning_rate': 1.9164497690560243e-07, 'epoch': 0.47}
{'loss': 2.0219, 'grad_norm': 26.739339457726025, 'learning_rate': 1.9053149558027887e-07, 'epoch': 0.5}
{'loss': 2.0317, 'grad_norm': 28.707979987601192, 'learning_rate': 1.8935204316221328e-07, 'epoch': 0.53}
{'loss': 1.9583, 'grad_norm': 30.361167766072775, 'learning_rate': 1.8810747912869977e-07, 'epoch': 0.55}
{'loss': 1.948, 'grad_norm': 29.56357820293893, 'learning_rate': 1.867987104044363e-07, 'epoch': 0.57}
{'loss': 1.9124, 'grad_norm': 26.662122981698793, 'learning_rate': 1.854266907006405e-07, 'epoch': 0.6}
{'loss': 1.9098, 'grad_norm': 25.426293015678713, 'learning_rate': 1.8399241982007208e-07, 'epoch': 0.62}
                                                                                                                                
{'loss': 1.8857, 'grad_norm': 30.582074256529527, 'learning_rate': 1.8249694292846783e-07, 'epoch': 0.65}
{'loss': 1.8498, 'grad_norm': 27.541870822389697, 'learning_rate': 1.8094134979292012e-07, 'epoch': 0.68}
{'loss': 1.8305, 'grad_norm': 29.644628439520165, 'learning_rate': 1.793267739877542e-07, 'epoch': 0.7}
{'loss': 1.8081, 'grad_norm': 30.52498816039253, 'learning_rate': 1.7765439206848262e-07, 'epoch': 0.72}
